idx,description,wnid
550,espresso_maker,n03297495
589,hand_blower,n03483316
619,lampshade,n03637318
725,pitcher,n03950228
824,stole,n04325704
907,wine_bottle,n04591713
40,American_chameleon,n01682714
124,crayfish,n01985128
167,English_foxhound,n02089973
187,Yorkshire_terrier,n02094433
356,weasel,n02441942
400,academic_gown,n02669723
402,acoustic_guitar,n02676566
459,brassiere,n02892767
513,cornet,n03110669
643,mask,n03724870
650,microphone,n03759954
691,oxygen_mask,n03868863
729,plate_rack,n03961711
754,radio,n04041544
787,shield,n04192698
809,soup_bowl,n04263257
817,sports_car,n04285008
892,wall_clock,n04548280
917,comic_book,n06596364
960,chocolate_sauce,n07836838
73,barn_spider,n01773549
385,Indian_elephant,n02504013
424,barbershop,n02791270
442,bell_cote,n02825657
469,caldron,n02939185
538,dome,n03220513
656,minivan,n03770679
700,paper_towel,n03887697
742,printer,n04004767
758,reel,n04067472
765,rocking_chair,n04099969
34,leatherback_turtle,n01665541
36,terrapin,n01667778
193,Australian_terrier,n02096294
265,toy_poodle,n02113624
278,kit_fox,n02119789
381,spider_monkey,n02493793
409,analog_clock,n02708093
418,ballpoint,n02783161
447,binoculars,n02841315
463,bucket,n02909870
465,bulletproof_vest,n02916936
514,cowboy_boot,n03124043
534,dishwasher,n03207941
590,hand-held_computer,n03485407
596,hatchet,n03498962
599,honeycomb,n03530642
652,military_uniform,n03763968
678,neck_brace,n03814639
709,pencil_box,n03908618
717,pickup,n03930630
772,safety_pin,n04127249
879,umbrella,n04507155
905,window_shade,n04590129
46,green_lizard,n01693334
54,hognose_snake,n01729322
163,bloodhound,n02088466
170,Irish_wolfhound,n02090721
180,American_Staffordshire_terrier,n02093428
271,red_wolf,n02114712
285,Egyptian_cat,n02124075
341,hog,n02395406
419,Band_Aid,n02786058
481,cassette,n02978881
494,chime,n03017168
515,cowboy_hat,n03124170
578,gown,n03450230
582,grocery_store,n03461385
624,library,n03661043
626,lighter,n03666591
632,loudspeaker,n03691459
651,microwave,n03761084
702,parallel_bars,n03888605
705,passenger_car,n03895866
710,pencil_sharpener,n03908714
718,pier,n03933933
740,power_drill,n03995372
762,restaurant,n04081281
792,shovel,n04208210
797,sleeping_bag,n04235860
826,stopwatch,n04328186
835,sundial,n04355338
842,swimming_trunks,n04371430
851,television,n04404412
868,tray,n04476259
883,vase,n04522168
893,wallet,n04548362
910,wooden_spoon,n04597913
923,plate,n07579787
978,seashore,n09428293
67,diamondback,n01755581
158,toy_terrier,n02087046
185,Norfolk_terrier,n02094114
226,briard,n02105251
303,long-horned_beetle,n02168699
312,cricket,n02229544
315,mantis,n02236044
473,can_opener,n02951585
509,confectionery,n03089624
526,desk,n03179701
543,dumbbell,n03255030
559,folding_chair,n03376595
587,hammer,n03481172
601,hoopskirt,n03534580
636,mailbag,n03709823
675,moving_van,n03796401
750,quilt,n04033995
804,soap_dispenser,n04254120
856,thresher,n04428191
930,French_loaf,n07684084
998,ear,n13133613
58,water_snake,n01737021
59,vine_snake,n01739381
159,Rhodesian_ridgeback,n02087394
237,miniature_pinscher,n02107312
241,EntleBucher,n02108000
311,grasshopper,n02226429
359,black-footed_ferret,n02443484
369,siamang,n02483708
374,langur,n02488291
380,titi,n02493509
390,eel,n02526121
504,coffee_mug,n03063599
505,coffeepot,n03063689
506,coil,n03065424
536,dock,n03216828
539,doormat,n03223299
549,envelope,n03291819
556,fire_screen,n03347037
581,grille,n03459775
665,moped,n03785016
692,packet,n03871628
708,pedestal,n03903868
767,rubber_eraser,n04116512
810,space_bar,n04264628
811,space_heater,n04265275
828,strainer,n04332243
864,tow_truck,n04461696
875,trombone,n04487394
887,vestment,n04532106
889,violin,n04536866
925,consomme,n07584110
967,espresso,n07920052
26,common_newt,n01630670
64,green_mamba,n01749939
151,Chihuahua,n02085620
201,silky_terrier,n02097658
204,Lhasa,n02098413
302,ground_beetle,n02167151
427,barrel,n02795169
434,bath_towel,n02808304
446,binder,n02840245
478,carton,n02971356
487,cellular_telephone,n02992529
502,clog,n03047690
527,desktop_computer,n03180011
647,measuring_cup,n03733805
657,missile,n03773504
686,oil_filter,n03843555
697,pajama,n03877472
775,sarong,n04136333
808,sombrero,n04259630
827,stove,n04330267
867,trailer_truck,n04467665
878,typewriter_keyboard,n04505470
966,red_wine,n07892512
976,promontory,n09399592
977,sandbar,n09421951
189,Lakeland_terrier,n02095570
192,cairn,n02096177
202,soft-coated_wheaten_terrier,n02098105
219,cocker_spaniel,n02102318
264,Cardigan,n02113186
277,red_fox,n02119022
281,tabby,n02123045
298,mongoose,n02137549
313,walking_stick,n02231487
348,ram,n02412080
357,mink,n02442845
408,amphibian,n02704792
441,beer_glass,n02823750
456,bow,n02879718
530,digital_clock,n03196217
593,harmonica,n03494278
774,sandal,n04133789
778,scale,n04141975
790,shopping_basket,n04204238
846,table_lamp,n04380533
902,whistle,n04579432
908,wing,n04592741
928,ice_cream,n07614500
929,ice_lolly,n07615774
962,meat_loaf,n07871810
66,horned_viper,n01753488
119,rock_crab,n01978455
120,fiddler_crab,n01980166
126,isopod,n01990800
134,crane,n02012849
166,Walker_hound,n02089867
175,otterhound,n02091635
176,Saluki,n02091831
179,Staffordshire_bullterrier,n02093256
184,Irish_terrier,n02093991
231,collie,n02106030
246,Great_Dane,n02109047
250,Siberian_husky,n02110185
314,cockroach,n02233338
371,patas,n02486261
386,African_elephant,n02504458
391,coho,n02536864
443,bib,n02834397
454,bookshop,n02871525
455,bottlecap,n02877765
470,candle,n02948072
507,combination_lock,n03075370
519,crate,n03127925
551,face_powder,n03314780
563,fountain_pen,n03388183
570,gasmask,n03424325
598,home_theater,n03529860
648,medicine_chest,n03742115
663,monastery,n03781244
737,pop_bottle,n03983396
745,projector,n04009552
776,sax,n04141076
794,shower_curtain,n04209239
806,sock,n04254777
816,spindle,n04277352
839,suspension_bridge,n04366367
939,zucchini,n07716358
964,potpie,n07875152
970,alp,n09193705
975,lakeside,n09332890
30,bullfrog,n01641577
49,African_crocodile,n01697457
55,green_snake,n01729977
74,garden_spider,n01773797
101,tusker,n01871265
106,wombat,n01883070
155,Shih-Tzu,n02086240
197,giant_schnauzer,n02097130
227,kelpie,n02105412
230,Shetland_sheepdog,n02105855
242,boxer,n02108089
249,malamute,n02110063
304,leaf_beetle,n02169497
309,bee,n02206856
353,gazelle,n02423022
394,sturgeon,n02640242
395,gar,n02641379
428,barrow,n02797295
429,baseball,n02799071
433,bathing_cap,n02807133
449,boathouse,n02859443
453,bookcase,n02870880
462,broom,n02906734
474,cardigan,n02963159
477,carpenter's_kit,n02966687
484,catamaran,n02981792
529,diaper,n03188531
531,digital_watch,n03197337
545,electric_fan,n03271574
566,French_horn,n03394916
572,goblet,n03443371
641,maraca,n03720891
693,paddle,n03873416
712,Petri_dish,n03920288
723,pinwheel,n03944341
730,plow,n03967562
747,punching_bag,n04023962
752,racket,n04039381
759,reflex_camera,n04069434
795,ski,n04228054
815,spider_web,n04275548
845,syringe,n04376876
855,thimble,n04423845
859,toaster,n04442312
861,toilet_seat,n04447861
891,waffle_iron,n04542943
894,wardrobe,n04550184
921,book_jacket,n07248320
924,guacamole,n07583066
926,hot_pot,n07590611
942,butternut_squash,n07717556
997,bolete,n13054560
50,American_alligator,n01698640
52,thunder_snake,n01728572
108,sea_anemone,n01914609
186,Norwich_terrier,n02094258
196,miniature_schnauzer,n02097047
207,golden_retriever,n02099601
220,Sussex_spaniel,n02102480
236,Doberman,n02107142
272,coyote,n02114855
287,lynx,n02127052
297,sloth_bear,n02134418
320,damselfly,n02268853
389,barracouta,n02514041
432,bassoon,n02804610
445,bikini,n02837789
457,bow_tie,n02883205
489,chainlink_fence,n03000134
557,flagpole,n03355925
579,grand_piano,n03452741
608,jean,n03594734
631,lotion,n03690938
635,magnetic_compass,n03706229
653,milk_can,n03764736
660,mobile_home,n03776460
677,nail,n03804744
696,paintbrush,n03876231
698,palace,n03877845
770,running_shoe,n04120489
798,slide_rule,n04238763
819,stage,n04296562
844,switch,n04372370
935,mashed_potato,n07711569
949,strawberry,n07745940
3,tiger_shark,n01491361
6,stingray,n01498041
33,loggerhead,n01664065
38,banded_gecko,n01675722
86,partridge,n01807496
110,flatworm,n01924916
114,slug,n01945685
122,American_lobster,n01983481
123,spiny_lobster,n01984695
165,black-and-tan_coonhound,n02089078
205,flat-coated_retriever,n02099267
222,kuvasz,n02104029
233,Bouvier_des_Flandres,n02106382
290,jaguar,n02128925
337,beaver,n02363005
452,bonnet,n02869837
460,breakwater,n02894605
490,chain_mail,n03000247
508,computer_keyboard,n03085013
512,corkscrew,n03109150
544,Dutch_oven,n03259280
591,handkerchief,n03485794
613,joystick,n03602883
629,lipstick,n03676483
662,modem,n03777754
683,oboe,n03838899
706,patio,n03899768
715,pickelhaube,n03929855
749,quill,n04033901
761,remote_control,n04074963
785,seat_belt,n04162706
788,shoe_shop,n04200800
793,shower_cap,n04209133
831,studio_couch,n04344873
857,throne,n04429376
858,tile_roof,n04435653
872,tripod,n04485082
882,vacuum,n04517823
981,ballplayer,n09835506
982,groom,n10148035
5,electric_ray,n01496331
41,whiptail,n01685808
61,boa_constrictor,n01742172
70,harvestman,n01770081
78,tick,n01776313
99,goose,n01855672
168,redbone,n02090379
206,curly-coated_retriever,n02099429
210,German_short-haired_pointer,n02100236
329,sea_cucumber,n02321529
411,apron,n02730930
421,bannister,n02788148
422,barbell,n02790996
440,beer_bottle,n02823428
486,cello,n02992211
492,chest,n03014705
497,church,n03028079
498,cinema,n03032252
503,cocktail_shaker,n03062245
546,electric_guitar,n03272010
588,hamper,n03482405
630,Loafer,n03680355
644,matchstick,n03729826
666,mortar,n03786901
667,mortarboard,n03787032
703,park_bench,n03891251
753,radiator,n04040759
760,refrigerator,n04070727
773,saltshaker,n04131690
789,shoji,n04201297
807,solar_dish,n04258138
7,cock,n01514668
39,common_iguana,n01677366
56,king_snake,n01734418
79,centipede,n01784675
153,Maltese_dog,n02085936
171,Italian_greyhound,n02091032
208,Labrador_retriever,n02099712
209,Chesapeake_Bay_retriever,n02099849
211,vizsla,n02100583
212,English_setter,n02100735
232,Border_collie,n02106166
238,Greater_Swiss_Mountain_dog,n02107574
252,affenpinscher,n02110627
257,Great_Pyrenees,n02111500
262,Brabancon_griffon,n02112706
310,ant,n02219486
316,cicada,n02256656
319,dragonfly,n02268443
346,water_buffalo,n02408429
368,gibbon,n02483362
373,macaque,n02487347
521,Crock_Pot,n03133878
592,hard_disc,n03492542
609,jeep,n03594945
674,mousetrap,n03794056
719,piggy_bank,n03935335
721,pillow,n03938244
777,scabbard,n04141327
791,shopping_cart,n04204347
796,ski_mask,n04229816
862,torch,n04456115
865,toyshop,n04462240
901,whiskey_jug,n04579145
904,window_screen,n04589890
912,worm_fence,n04604644
943,cucumber,n07718472
965,burrito,n07880968
972,cliff,n09246464
21,kite,n01608432
43,frilled_lizard,n01688243
48,Komodo_dragon,n01695060
65,sea_snake,n01751748
104,wallaby,n01877812
112,conch,n01943899
131,little_blue_heron,n02009229
160,Afghan_hound,n02088094
162,beagle,n02088364
172,whippet,n02091134
173,Ibizan_hound,n02091244
182,Border_terrier,n02093754
198,standard_schnauzer,n02097209
199,Scotch_terrier,n02097298
213,Irish_setter,n02100877
224,groenendael,n02105056
235,German_shepherd,n02106662
269,timber_wolf,n02114367
273,dingo,n02115641
330,wood_rabbit,n02325366
342,wild_boar,n02396427
343,warthog,n02397096
360,otter,n02444819
367,chimpanzee,n02481823
423,barber_chair,n02791124
468,cab,n02930766
511,convertible,n03100240
520,crib,n03131574
603,horse_cart,n03538406
605,iPod,n03584254
682,obelisk,n03837869
684,ocarina,n03840681
720,pill_bottle,n03937543
734,police_van,n03977966
735,poncho,n03980874
769,rule,n04118776
849,teapot,n04398044
895,warplane,n04552348
903,wig,n04584207
931,bagel,n07693725
934,hotdog,n07697537
27,eft,n01631663
28,spotted_salamander,n01632458
45,Gila_monster,n01692333
103,platypus,n01873310
118,Dungeness_crab,n01978287
140,red-backed_sandpiper,n02027492
183,Kerry_blue_terrier,n02093859
194,Dandie_Dinmont,n02096437
234,Rottweiler,n02106550
267,standard_poodle,n02113799
280,grey_fox,n02120505
328,sea_urchin,n02319095
377,marmoset,n02490219
378,capuchin,n02492035
397,puffer,n02655020
399,abaya,n02667093
444,bicycle-built-for-two,n02835271
517,crane,n03126707
532,dining_table,n03201208
583,guillotine,n03467068
586,half_track,n03478589
597,holster,n03527444
606,iron,n03584829
615,knee_pad,n03623198
616,knot,n03627232
627,limousine,n03670208
658,mitten,n03775071
659,mixing_bowl,n03775546
680,nipple,n03825788
690,oxcart,n03868242
695,padlock,n03874599
707,pay-phone,n03902125
714,pick,n03929660
726,plane,n03954731
741,prayer_rug,n03998194
743,prison,n04005630
751,racer,n04037443
763,revolver,n04086273
871,trimaran,n04483307
877,turnstile,n04501370
880,unicycle,n04509417
919,street_sign,n06794110
932,pretzel,n07695742
944,artichoke,n07718747
950,orange,n07747607
980,volcano,n09472597
47,African_chameleon,n01694178
63,Indian_cobra,n01748264
75,black_widow,n01774384
77,wolf_spider,n01775062
109,brain_coral,n01917289
152,Japanese_spaniel,n02085782
154,Pekinese,n02086079
157,papillon,n02086910
177,Scottish_deerhound,n02092002
243,bull_mastiff,n02108422
245,French_bulldog,n02108915
263,Pembroke,n02113023
352,impala,n02422699
401,accordion,n02672831
406,altar,n02699494
431,bassinet,n02804414
467,butcher_shop,n02927161
480,cash_machine,n02977058
553,file,n03337140
571,gas_pump,n03425413
602,horizontal_bar,n03535780
610,jersey,n03595614
617,lab_coat,n03630383
699,panpipe,n03884397
711,perfume,n03916031
786,sewing_machine,n04179913
814,speedboat,n04273569
843,swing,n04371774
850,teddy,n04399382
884,vault,n04523525
940,spaghetti_squash,n07716906
952,fig,n07753113
953,pineapple,n07753275
963,pizza,n07873807
76,tarantula,n01774750
82,ruffed_grouse,n01797886
97,drake,n01847000
113,snail,n01944390
133,bittern,n02011460
188,wire-haired_fox_terrier,n02095314
215,Brittany_spaniel,n02101388
223,schipperke,n02104365
283,Persian_cat,n02123394
286,cougar,n02125311
307,weevil,n02177972
318,lacewing,n02264363
335,fox_squirrel,n02356798
338,guinea_pig,n02364673
349,bighorn,n02415577
366,gorilla,n02480855
370,guenon,n02484975
430,basketball,n02802426
437,beacon,n02814860
495,china_cabinet,n03018349
518,crash_helmet,n03127747
525,dam,n03160309
552,feather_boa,n03325584
577,gong,n03447721
595,harvester,n03496892
634,lumbermill,n03697007
637,mailbox,n03710193
671,mountain_bike,n03792782
687,organ,n03854065
732,Polaroid_camera,n03976467
756,rain_barrel,n04049303
833,submarine,n04347754
881,upright,n04515003
897,washer,n04554684
914,yawl,n04612504
918,crossword_puzzle,n06785654
920,traffic_light,n06874185
954,banana,n07753592
959,carbonara,n07831146
996,hen-of-the-woods,n13052670
16,bulbul,n01560419
31,tree_frog,n01644373
72,black_and_gold_garden_spider,n01773157
84,peacock,n01806143
89,sulphur-crested_cockatoo,n01819313
107,jellyfish,n01910747
117,chambered_nautilus,n01968897
121,king_crab,n01981276
125,hermit_crab,n01986214
150,sea_lion,n02077923
190,Sealyham_terrier,n02095889
203,West_Highland_white_terrier,n02098286
214,Gordon_setter,n02101006
225,malinois,n02105162
256,Newfoundland,n02111277
261,keeshond,n02112350
327,starfish,n02317335
364,three-toed_sloth,n02457408
382,squirrel_monkey,n02494079
383,Madagascar_cat,n02497673
398,abacus,n02666196
426,barometer,n02794156
451,bolo_tie,n02865351
483,castle,n02980441
535,disk_brake,n03208938
561,forklift,n03384352
614,kimono,n03617480
670,motor_scooter,n03791053
722,ping-pong_ball,n03942813
724,pirate,n03947888
736,pool_table,n03982430
768,rugby_ball,n04118538
771,safe,n04125021
780,schooner,n04147183
825,stone_wall,n04326547
870,tricycle,n04482393
888,viaduct,n04532670
936,head_cabbage,n07714571
951,lemon,n07749582
958,hay,n07802026
971,bubble,n09229709
979,valley,n09468604
983,scuba_diver,n10565667
994,stinkhorn,n13040303
4,hammerhead,n01494475
8,hen,n01514859
10,brambling,n01530575
23,vulture,n01616318
37,box_turtle,n01669191
42,agama,n01687978
57,garter_snake,n01735189
81,ptarmigan,n01796340
115,sea_slug,n01950731
128,black_stork,n02002724
161,basset,n02088238
195,Boston_bull,n02096585
270,white_wolf,n02114548
306,rhinoceros_beetle,n02174001
336,marmot,n02361337
355,llama,n02437616
375,colobus,n02488702
393,anemone_fish,n02607072
404,airliner,n02690373
405,airship,n02692877
420,banjo,n02787622
450,bobsled,n02860847
471,cannon,n02950826
573,go-kart,n03444034
574,golf_ball,n03445777
575,golfcart,n03445924
580,greenhouse,n03457902
611,jigsaw_puzzle,n03598930
654,minibus,n03769881
672,mountain_tent,n03792972
766,rotisserie,n04111531
852,tennis_ball,n04409515
866,tractor,n04465501
896,washbasin,n04553703
913,wreck,n04606251
938,cauliflower,n07715103
941,acorn_squash,n07717410
973,coral_reef,n09256479
2,great_white_shark,n01484850
17,jay,n01580077
20,water_ouzel,n01601694
29,axolotl,n01632777
53,ringneck_snake,n01728920
93,hornbill,n01829413
111,nematode,n01930112
116,chiton,n01955084
143,oystercatcher,n02037110
149,dugong,n02074367
174,Norwegian_elkhound,n02091467
217,English_springer,n02102040
229,Old_English_sheepdog,n02105641
253,basenji,n02110806
254,pug,n02110958
260,chow,n02112137
288,leopard,n02128385
299,meerkat,n02138441
300,tiger_beetle,n02165105
308,fly,n02190166
331,hare,n02326432
363,armadillo,n02454379
365,orangutan,n02480495
403,aircraft_carrier,n02687172
510,container_ship,n03095699
528,dial_telephone,n03187595
555,fire_engine,n03345487
560,football_helmet,n03379051
568,fur_coat,n03404251
649,megalith,n03743016
704,parking_meter,n03891332
738,pot,n03991062
757,recreational_vehicle,n04065272
821,steel_arch_bridge,n04311004
840,swab,n04367480
847,tank,n04389033
853,thatch,n04417672
854,theater_curtain,n04418357
874,trolleybus,n04487081
915,yurt,n04613696
922,menu,n07565083
957,pomegranate,n07768694
1,goldfish,n01443537
12,house_finch,n01532829
18,magpie,n01582220
51,triceratops,n01704323
91,coucal,n01824575
96,toucan,n01843383
105,koala,n01882714
132,American_egret,n02009912
137,American_coot,n02018207
141,redshank,n02028035
144,pelican,n02051845
181,Bedlington_terrier,n02093647
191,Airedale,n02096051
216,clumber,n02101556
274,dhole,n02115913
276,hyena,n02117135
295,American_black_bear,n02133161
334,porcupine,n02346627
344,hippopotamus,n02398521
491,chain_saw,n03000684
533,dishrag,n03207743
564,four-poster,n03388549
594,harp,n03495258
661,Model_T,n03777568
739,potter's_wheel,n03992509
781,scoreboard,n04149813
801,snorkel,n04251144
822,steel_drum,n04311174
956,custard_apple,n07760859
992,agaric,n12998815
0,tench,n01440764
11,goldfinch,n01531178
71,scorpion,n01770393
80,black_grouse,n01795545
85,quail,n01806567
98,red-breasted_merganser,n01855032
146,albatross,n02058221
164,bluetick,n02088632
169,borzoi,n02090622
279,Arctic_fox,n02120079
289,snow_leopard,n02128757
291,lion,n02129165
294,brown_bear,n02132136
305,dung_beetle,n02172182
326,lycaenid,n02281787
362,badger,n02447366
372,baboon,n02486410
379,howler_monkey,n02492660
384,indri,n02500267
388,giant_panda,n02510455
417,balloon,n02782093
458,brass,n02892201
472,canoe,n02951358
496,Christmas_stocking,n03026506
500,cliff_dwelling,n03042490
522,croquet_ball,n03134739
540,drilling_platform,n03240683
562,fountain,n03388043
576,gondola,n03447447
604,hourglass,n03544143
621,lawn_mower,n03649909
642,marimba,n03721384
679,necklace,n03814906
812,space_shuttle,n04266014
820,steam_locomotive,n04310018
990,buckeye,n12768682
69,trilobite,n01768244
83,prairie_chicken,n01798484
127,white_stork,n02002556
142,dowitcher,n02033041
145,king_penguin,n02056570
147,grey_whale,n02066245
221,Irish_water_spaniel,n02102973
228,komondor,n02105505
244,Tibetan_mastiff,n02108551
268,Mexican_hairless,n02113978
301,ladybug,n02165456
317,leafhopper,n02259212
322,ringlet,n02277742
324,cabbage_butterfly,n02280649
354,Arabian_camel,n02437312
361,skunk,n02445715
407,ambulance,n02701002
410,apiary,n02727426
448,birdhouse,n02843684
802,snowmobile,n04252077
805,soccer_ball,n04254680
832,stupa,n04346328
863,totem_pole,n04458633
927,trifle,n07613480
933,cheeseburger,n07697313
945,bell_pepper,n07720875
948,Granny_Smith,n07742313
993,gyromitra,n13037406
14,indigo_bunting,n01537544
19,chickadee,n01592084
88,macaw,n01818515
95,jacamar,n01843065
138,bustard,n02018795
156,Blenheim_spaniel,n02086646
178,Weimaraner,n02092339
258,Samoyed,n02111889
259,Pomeranian,n02112018
296,ice_bear,n02134084
323,monarch,n02279972
325,sulphur_butterfly,n02281406
350,ibex,n02417914
351,hartebeest,n02422106
396,lionfish,n02643566
537,dogsled,n03218198
554,fireboat,n03344393
612,jinrikisha,n03599486
669,mosquito_net,n03788365
688,oscilloscope,n03857828
694,paddlewheel,n03874293
713,photocopier,n03924679
716,picket_fence,n03930313
779,school_bus,n04146614
783,screw,n04153751
829,streetcar,n04335435
955,jackfruit,n07754684
988,acorn,n12267677
15,robin,n01558993
87,African_grey,n01817953
92,bee_eater,n01828970
94,hummingbird,n01833805
130,flamingo,n02007558
239,Bernese_mountain_dog,n02107683
247,Saint_Bernard,n02109525
292,tiger,n02129604
321,admiral,n02276258
392,rock_beauty,n02606052
416,balance_beam,n02777292
547,electric_locomotive,n03272562
548,entertainment_center,n03290653
625,lifeboat,n03662601
640,manhole_cover,n03717622
646,maze,n03733281
668,mosque,n03788195
727,planetarium,n03956157
873,triumphal_arch,n04486054
916,web_site,n06359193
937,broccoli,n07714990
9,ostrich,n01518878
13,junco,n01534433
24,great_grey_owl,n01622779
136,European_gallinule,n02017213
293,cheetah,n02130308
332,Angora,n02328150
339,sorrel,n02389026
347,bison,n02410509
425,barn,n02793495
439,bearskin,n02817516
466,bullet_train,n02917067
475,car_mirror,n02965783
569,garbage_truck,n03417042
628,liner,n03673027
701,parachute,n03888257
746,puck,n04019541
803,snowplow,n04252225
886,vending_machine,n04525305
890,volleyball,n04540053
984,rapeseed,n11879895
989,hip,n12620546
22,bald_eagle,n01614925
25,European_fire_salamander,n01629819
90,lorikeet,n01820546
100,black_swan,n01860187
102,echidna,n01872401
135,limpkin,n02013706
148,killer_whale,n02071294
218,Welsh_springer_spaniel,n02102177
275,African_hunting_dog,n02116738
284,Siamese_cat,n02123597
340,zebra,n02391049
376,proboscis_monkey,n02489166
387,lesser_panda,n02509815
476,carousel,n02966193
645,maypole,n03733131
755,radio_telescope,n04044716
800,slot,n04243546
900,water_tower,n04562935
946,cardoon,n07730033
974,geyser,n09288635
129,spoonbill,n02006656
251,dalmatian,n02110341
255,Leonberg,n02111129
333,hamster,n02342885
565,freight_car,n03393912
607,jack-o'-lantern,n03590841
991,coral_fungus,n12985857
139,ruddy_turnstone,n02025239
685,odometer,n03841143
985,daisy,n11939491
986,yellow_lady's_slipper,n12057211
995,earthstar,n13044778
